"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R68","RESC2012N","98.15mm","74.2mm","98.15mm","74.2mm","98.15mm","75.1mm","T","270.00","100k"
"R67","RESC2012N","103.875mm","74.2mm","103.875mm","74.2mm","103.875mm","75.1mm","T","270.00","100k"
"R66","RESC2012N","105.775mm","74.2mm","105.775mm","74.2mm","105.775mm","75.1mm","T","270.00","100k"
"R63","RESC2012N","100.05mm","74.2mm","100.05mm","74.2mm","100.05mm","75.1mm","T","270.00","1k"
"R62","RESC2012N","101.975mm","74.2mm","101.975mm","74.2mm","101.975mm","75.1mm","T","270.00","1k"
"R61","RESC2012N","107.675mm","74.2mm","107.675mm","74.2mm","107.675mm","75.1mm","T","270.00","1k"
"U2","SOIC-OA8_N","59.55mm","82.825mm","59.55mm","82.825mm","61.95mm","80.92mm","T","180.00","TC4427COA"
"R65","RESC2012N","111.475mm","74.2mm","111.475mm","74.2mm","111.475mm","75.1mm","T","270.00","100k"
"R60","RESC2012N","109.575mm","74.2mm","109.575mm","74.2mm","109.575mm","75.1mm","T","270.00","1k"
"T10","TO263-3N","31.725mm","79.175mm","30.45mm","79.175mm","36.5mm","76.635mm","T","180.00","STGB18N40LZT4"
"T9","TO263-3N","38.575mm","90.175mm","37.3mm","90.175mm","43.35mm","87.635mm","T","180.00","STGB18N40LZT4"
"C70","CAPC2012N","57.375mm","86.575mm","57.3751mm","86.575mm","58.225mm","86.575mm","T","180.00","10u"
"T8","TO-252AA_N","30.7749mm","42.4mm","29.6499mm","42.4mm","33.9999mm","40.12mm","T","180.00","VND14NV04"
"T7","TO-252AA_N","43.9mm","41.4001mm","42.775mm","41.4001mm","47.125mm","39.1201mm","T","180.00","VND14NV04"
"T6","TO-252AA_N","32.125mm","34.4mm","31mm","34.4mm","35.35mm","32.12mm","T","180.00","VND14NV04"
"T5","TO-252AA_N","43.9mm","30.7499mm","42.775mm","30.7499mm","47.125mm","28.4699mm","T","180.00","VND14NV04"
"R58","RESC2012N","49.4mm","44.7751mm","49.4mm","44.7751mm","49.4mm","43.8751mm","T","90.00","100k"
"R57","RESC2012N","49.4mm","40.0251mm","49.4mm","40.0251mm","49.4mm","40.9251mm","T","270.00","100k"
"R56","RESC2012N","49.4mm","32.2499mm","49.4mm","32.2499mm","49.4mm","31.3499mm","T","90.00","100k"
"R55","RESC2012N","49.4mm","28.75mm","49.4mm","28.75mm","49.4mm","29.65mm","T","270.00","100k"
"R53","RESC2012N","51.3mm","44.7751mm","51.3mm","44.7751mm","51.3mm","43.8751mm","T","90.00","1k"
"R52","RESC2012N","51.3mm","40.0251mm","51.3mm","40.0251mm","51.3mm","40.9251mm","T","270.00","1k"
"R51","RESC2012N","51.3mm","32.975mm","51.3mm","32.975mm","51.3mm","33.875mm","T","270.00","1k"
"R50","RESC2012N","51.3mm","28.75mm","51.3mm","28.75mm","51.3mm","29.65mm","T","270.00","1k"
"T4","SOT23-3N","93.825mm","25.1mm","93.825mm","25.1mm","94.775mm","24.15mm","T","180.00","BC857B"
"T3","SOT23-3N","93.825mm","17.3mm","93.825mm","17.3mm","94.775mm","16.35mm","T","180.00","BC857B"
"T2","SOT23-3N","82.375mm","4.6mm","82.375mm","4.6mm","83.325mm","3.65mm","T","180.00","BC857B"
"T1","SOT23-3N","82.375mm","8.925mm","82.375mm","8.925mm","81.425mm","9.875mm","T","360.00","BC857B"
"U1","SOIC127P600-14N","103.325mm","20.2mm","103.325mm","20.2mm","100.925mm","24.01mm","T","0.00","MCP6004T-E/SL"
"D21","CAPC2012N","76.775mm","3.45mm","76.775mm","3.45mm","77.625mm","3.45mm","T","180.00","RB521S30T1G"
"D20","CAPC2012N","76.775mm","10.075mm","76.775mm","10.075mm","77.625mm","10.075mm","T","180.00","RB521S30T1G"
"R41","RESC2012N","90.125mm","20.525mm","90.125mm","20.525mm","91.025mm","20.525mm","T","180.00","22k"
"R40","RESC2012N","90.125mm","18.625mm","90.125mm","18.625mm","91.025mm","18.625mm","T","180.00","22k"
"R37","RESC2012N","96.725mm","23.1mm","96.725mm","23.1mm","96.725mm","22.2mm","T","90.00","100k"
"R36","RESC2012N","96.725mm","17.3mm","96.725mm","17.3mm","96.725mm","18.2mm","T","270.00","100k"
"R35","RESC2012N","101.325mm","25.8mm","101.325mm","25.8mm","100.425mm","25.8mm","T","360.00","100k"
"R34","RESC2012N","101.325mm","14.6mm","101.325mm","14.6mm","100.425mm","14.6mm","T","360.00","100k"
"R33","RESC2012N","79.475mm","4.6mm","79.475mm","4.6mm","79.475mm","3.7mm","T","90.00","100k"
"R32","RESC2012N","79.475mm","8.925mm","79.475mm","8.925mm","79.475mm","9.825mm","T","270.00","100k"
"R31","RESC2012N","74.075mm","4.6mm","74.075mm","4.6mm","74.075mm","3.7mm","T","90.00","47k"
"R30","RESC2012N","74.075mm","8.925mm","74.075mm","8.925mm","74.075mm","9.825mm","T","270.00","47k"
"R29","RESC2012N","76.775mm","5.4mm","76.775mm","5.4mm","77.675mm","5.4mm","T","180.00","1M"
"R28","RESC2012N","76.775mm","8.125mm","76.775mm","8.125mm","77.675mm","8.125mm","T","180.00","1M"
"R27","RESC2012N","70.175mm","4.6mm","70.175mm","4.6mm","70.175mm","5.5mm","T","270.00","1k"
"R26","RESC2012N","67.475mm","3.4mm","67.475mm","3.4mm","68.375mm","3.4mm","T","180.00","1k"
"R25","RESC2012N","85.275mm","4.6mm","85.275mm","4.6mm","85.275mm","3.7mm","T","90.00","1k"
"R24","RESC2012N","98.625mm","23.1mm","98.625mm","23.1mm","98.625mm","22.2mm","T","90.00","1k"
"R23","RESC2012N","70.175mm","8.925mm","70.175mm","8.925mm","70.175mm","8.025mm","T","90.00","1k"
"R22","RESC2012N","67.475mm","8.125mm","67.475mm","8.125mm","68.375mm","8.125mm","T","180.00","1k"
"R21","RESC2012N","98.625mm","17.3mm","98.625mm","17.3mm","98.625mm","18.2mm","T","270.00","1k"
"R20","RESC2012N","85.275mm","8.925mm","85.275mm","8.925mm","85.275mm","9.825mm","T","270.00","1k"
"R15","RESC2012N","81.1753mm","74.2mm","81.1752mm","74.2mm","81.1753mm","75.1mm","T","270.00","1k"
"R14","RESC2012N","79.2752mm","74.2mm","79.2752mm","74.2mm","79.2752mm","73.3mm","T","90.00","3k9"
"R12","RESC2012N","62.0551mm","61.725mm","62.0551mm","61.725mm","61.1551mm","61.725mm","T","360.00","2k49"
"R11","RESC2012N","62.0551mm","63.625mm","62.0551mm","63.625mm","61.1551mm","63.625mm","T","360.00","2k49"
"R6","RESC2012N","60.95mm","68.225mm","60.95mm","68.225mm","60.95mm","69.125mm","T","270.00","750R"
"R5","RESC2012N","62.0551mm","59.825mm","62.0551mm","59.825mm","61.1551mm","59.825mm","T","360.00","470R"
"R4","RESC2012N","78.175mm","71.5mm","78.175mm","71.5mm","79.075mm","71.5mm","T","180.00","470R"
"R3","RESC2012N","62.0551mm","65.525mm","62.0551mm","65.525mm","61.1551mm","65.525mm","T","0.00","470R"
"R2","RESC2012N","80.45mm","56.7mm","80.45mm","56.7mm","80.45mm","55.8mm","T","90.00","470R"
"R1","RESC2012N","64.8552mm","57.125mm","64.8552mm","57.125mm","64.8552mm","56.225mm","T","90.00","470R"
"D16","CAPC2012N","64.905mm","68.225mm","64.905mm","68.225mm","64.905mm","67.375mm","T","90.00","RB521S30T1G"
"D15","CAPC2012N","66.8051mm","60.625mm","66.8051mm","60.625mm","66.8051mm","59.775mm","T","90.00","RB521S30T1G"
"D14","CAPC2012N","76.15mm","61.45mm","76.15mm","61.45mm","75.3mm","61.45mm","T","360.00","MM3Z5V1ST1G"
"D13","CAPC2012N","66.8051mm","64.725mm","66.8051mm","64.725mm","66.8051mm","65.575mm","T","270.00","RB521S30T1G"
"D12","CAPC2012N","79.65mm","61.45mm","79.65mm","61.45mm","80.5mm","61.45mm","T","180.00","RB521S30T1G"
"D11","CAPC2012N","66.8002mm","57.125mm","66.8002mm","57.125mm","66.8002mm","57.975mm","T","270.00","RB521S30T1G"
"D6","CAPC2012N","62.9mm","68.225mm","62.9mm","68.225mm","62.9mm","69.075mm","T","270.00","RB521S30T1G"
"D5","CAPC2012N","64.8051mm","60.625mm","64.8051mm","60.625mm","64.8051mm","61.475mm","T","270.00","RB521S30T1G"
"D3","CAPC2012N","64.8051mm","64.725mm","64.8051mm","64.725mm","64.8051mm","63.875mm","T","90.00","RB521S30T1G"
"D2","CAPC2012N","79.65mm","59.45mm","79.65mm","59.45mm","78.8mm","59.45mm","T","360.00","RB521S30T1G"
"D1","CAPC2012N","70.8002mm","57.125mm","70.8002mm","57.125mm","70.8002mm","56.275mm","T","90.00","RB521S30T1G"
"C27","CAPC2012N","95.55mm","5.2mm","95.55mm","5.2mm","94.7mm","5.2mm","T","0.00","10u"
"C26","CAPC2012N","96.2mm","20.2mm","96.2mm","20.2mm","95.35mm","20.2mm","T","0.00","100n"
"C25","CAPC2012N","97.825mm","25.85mm","97.825mm","25.85mm","96.975mm","25.85mm","T","360.00","100n"
"C24","CAPC2012N","97.8mm","14.55mm","97.8mm","14.55mm","96.95mm","14.55mm","T","360.00","100n"
"C23","CAPC2012N","72.125mm","4.6mm","72.125mm","4.6mm","72.125mm","5.45mm","T","270.00","1n"
"C22","CAPC2012N","72.125mm","8.925mm","72.125mm","8.925mm","72.125mm","8.075mm","T","90.00","1n"
"C21","CAPC2012N","67.475mm","5.35mm","67.475mm","5.35mm","68.325mm","5.35mm","T","180.00","10n"
"C20","CAPC2012N","67.475mm","10.075mm","67.475mm","10.075mm","68.325mm","10.075mm","T","180.00","10n"
"C16","CAPC2012N","66.905mm","68.225mm","66.905mm","68.225mm","66.905mm","67.375mm","T","90.00","220n"
"C15","CAPC2012N","68.8051mm","60.625mm","68.8051mm","60.625mm","68.8051mm","59.775mm","T","90.00","220n"
"C14","CAPC2012N","76.15mm","63.45mm","76.15mm","63.45mm","75.3mm","63.45mm","T","360.00","220n"
"C13","CAPC2012N","68.8051mm","64.725mm","68.8051mm","64.725mm","68.8051mm","65.575mm","T","270.00","220n"
"C12","CAPC2012N","79.65mm","63.45mm","79.65mm","63.45mm","80.5mm","63.45mm","T","180.00","220n"
"C11","CAPC2012N","68.8002mm","57.125mm","68.8002mm","57.125mm","68.8002mm","57.975mm","T","270.00","220n"
"C5","CAPC2012N","59.3051mm","60.625mm","59.3051mm","60.625mm","59.3051mm","59.775mm","T","90.00","100n"
"C4","CAPC2012N","83.1252mm","74.2mm","83.1252mm","74.2mm","83.1252mm","73.35mm","T","90.00","100n"
"C3","CAPC2012N","59.3051mm","64.725mm","59.3051mm","64.725mm","59.3051mm","65.575mm","T","270.00","100n"
"C2","CAPC2012N","78.5mm","56.7mm","78.5mm","56.7mm","78.5mm","55.85mm","T","90.00","100n"
"C1","CAPC2012N","60.9801mm","57.125mm","60.9801mm","57.125mm","60.9801mm","56.275mm","T","90.00","100n"
"R89","RESC2012N","9.25mm","51.8mm","9.25mm","51.8mm","10.15mm","51.8mm","T","180.00","10k"
"C33","CAPC2012N","61.625mm","28.75mm","61.625mm","28.75mm","61.625mm","29.6mm","T","270.00","220n"
"D24","CAPC2012N","55.75mm","25.525mm","55.75mm","25.525mm","55.75mm","24.675mm","T","90.00","RB521S30T1G"
"D25","CAPC2012N","59.625mm","28.75mm","59.625mm","28.75mm","59.625mm","29.6mm","T","270.00","RB521S30T1G"
"R49","RESC2012N","57.675mm","25.525mm","57.675mm","25.525mm","57.675mm","26.425mm","T","270.00","2k49"
"D44","CAPC2012N","103.175mm","58.5mm","103.175mm","58.5mm","104.025mm","58.5mm","T","180.00","MM3Z5V1ST1G"
